Date,Close,Stock
4/9/2019,84.28,NKE
4/10/2019,84.88,NKE
4/11/2019,85,NKE
4/12/2019,86.24,NKE
4/15/2019,86.83,NKE
4/16/2019,87.8,NKE
4/17/2019,88.73,NKE
4/18/2019,89.2,NKE
4/22/2019,87.36,NKE
4/23/2019,87.43,NKE
4/24/2019,88.39,NKE
4/25/2019,87.56,NKE
4/26/2019,88.31,NKE
4/29/2019,88.26,NKE
4/30/2019,87.83,NKE
5/1/2019,85.9,NKE
5/2/2019,85.27,NKE
5/3/2019,85.7,NKE
5/6/2019,83.57,NKE
5/7/2019,82.54,NKE
5/8/2019,82.77,NKE
5/9/2019,82.98,NKE
5/10/2019,83.95,NKE
5/13/2019,82.53,NKE
5/14/2019,83.67,NKE
5/15/2019,84.01,NKE
5/16/2019,84.28,NKE
5/17/2019,84.57,NKE
5/20/2019,82.85,NKE
5/21/2019,83.64,NKE
5/22/2019,83.2,NKE
5/23/2019,82.64,NKE
5/24/2019,82.16,NKE
5/28/2019,81.2,NKE
5/29/2019,78.87,NKE
5/30/2019,79.26,NKE
5/31/2019,77.14,NKE
6/3/2019,77.96,NKE
6/4/2019,81.62,NKE
6/5/2019,82.72,NKE
6/6/2019,82.45,NKE
6/7/2019,83.41,NKE
6/10/2019,82.58,NKE
6/11/2019,83.26,NKE
6/12/2019,82.63,NKE
6/13/2019,83.61,NKE
6/14/2019,83.44,NKE
6/17/2019,82.11,NKE
6/18/2019,84.3,NKE
6/19/2019,83.55,NKE
6/20/2019,85.24,NKE
6/21/2019,85.75,NKE
6/24/2019,84.5,NKE
6/25/2019,82.62,NKE
6/26/2019,82.55,NKE
6/27/2019,83.66,NKE
6/28/2019,83.95,NKE
7/1/2019,85.41,NKE
7/2/2019,84.96,NKE
7/3/2019,86.2,NKE
7/5/2019,86.82,NKE
7/8/2019,88.48,NKE
7/9/2019,88.04,NKE
7/10/2019,87.44,NKE
7/11/2019,88.29,NKE
7/12/2019,89.12,NKE
7/15/2019,89.48,NKE
7/16/2019,88.6,NKE
7/17/2019,87.5,NKE
7/18/2019,87.44,NKE
7/19/2019,86.55,NKE
7/22/2019,85.97,NKE
7/23/2019,86.7,NKE
7/24/2019,86.7,NKE
7/25/2019,87.28,NKE
7/26/2019,87.54,NKE
7/29/2019,87.62,NKE
7/30/2019,87.2,NKE
7/31/2019,86.03,NKE
8/1/2019,83.12,NKE
8/2/2019,81.14,NKE
8/5/2019,78.97,NKE
8/6/2019,81.3,NKE
8/7/2019,81.28,NKE
8/8/2019,83,NKE
8/9/2019,81.98,NKE
8/12/2019,81.65,NKE
8/13/2019,83.32,NKE
8/14/2019,81.03,NKE
8/15/2019,79.51,NKE
8/16/2019,80.28,NKE
8/19/2019,81.13,NKE
8/20/2019,80.53,NKE
8/21/2019,82.74,NKE
8/22/2019,83.31,NKE
8/23/2019,80.44,NKE
8/26/2019,82.25,NKE
8/27/2019,82.03,NKE
8/28/2019,83.48,NKE
8/29/2019,85.38,NKE
8/30/2019,84.5,NKE
9/3/2019,84.67,NKE
9/4/2019,86.35,NKE
9/5/2019,88.42,NKE
9/6/2019,88.69,NKE
9/9/2019,88.67,NKE
9/10/2019,86.83,NKE
9/11/2019,86.75,NKE
9/12/2019,87.67,NKE
9/13/2019,87.32,NKE
9/16/2019,87.27,NKE
9/17/2019,87.59,NKE
9/18/2019,88.08,NKE
9/19/2019,87.7,NKE
9/20/2019,86.68,NKE
9/23/2019,87.69,NKE
9/24/2019,87.18,NKE
9/25/2019,90.81,NKE
9/26/2019,92.17,NKE
9/27/2019,92.31,NKE
9/30/2019,93.92,NKE
10/1/2019,92.28,NKE
10/2/2019,91.49,NKE
10/3/2019,92.22,NKE
10/4/2019,93.07,NKE
10/7/2019,93.17,NKE
10/8/2019,91.75,NKE
10/9/2019,92.52,NKE
10/10/2019,93,NKE
10/11/2019,93.88,NKE
10/14/2019,94.88,NKE
10/15/2019,94.79,NKE
10/16/2019,94.88,NKE
10/17/2019,95.56,NKE
10/18/2019,96.1,NKE
10/21/2019,96.22,NKE
10/22/2019,95.6,NKE
10/23/2019,92.32,NKE
10/24/2019,91.5,NKE
10/25/2019,90.92,NKE
10/28/2019,90.85,NKE
10/29/2019,89.28,NKE
10/30/2019,90.19,NKE
10/31/2019,89.55,NKE
11/1/2019,89.18,NKE
11/4/2019,89.86,NKE
11/5/2019,89.88,NKE
11/6/2019,89.48,NKE
11/7/2019,90.4,NKE
11/8/2019,89.81,NKE
11/11/2019,90.05,NKE
11/12/2019,89.5,NKE
11/13/2019,91.29,NKE
11/14/2019,91.27,NKE
11/15/2019,93.04,NKE
11/18/2019,94.18,NKE
11/19/2019,93.61,NKE
11/20/2019,93.05,NKE
11/21/2019,92.16,NKE
11/22/2019,93.34,NKE
11/25/2019,92.9,NKE
11/26/2019,93.33,NKE
11/27/2019,94.14,NKE
11/29/2019,93.49,NKE
12/2/2019,93.56,NKE
12/3/2019,92.46,NKE
12/4/2019,93.72,NKE
12/5/2019,95.79,NKE
12/6/2019,97,NKE
12/9/2019,96.63,NKE
12/10/2019,97.01,NKE
12/11/2019,97.18,NKE
12/12/2019,97.72,NKE
12/13/2019,97.77,NKE
12/16/2019,98.81,NKE
12/17/2019,99.65,NKE
12/18/2019,100.57,NKE
12/19/2019,101.15,NKE
12/20/2019,99.96,NKE
12/23/2019,100.04,NKE
12/24/2019,100.14,NKE
12/26/2019,100.71,NKE
12/27/2019,101.57,NKE
12/30/2019,100.8,NKE
